run,best_obj,profit,iterations
1,33254.48774257919,51234.48774257919,5376
2,23274.59779668195,41654.59779668195,9128
3,38264.5662547909,55644.5662547909,7330
4,29158.19628106503,47538.19628106503,4539
5,39904.53356178882,58424.53356178882,4461
6,34774.037279974065,53694.037279974065,3500
7,26259.3237143604,42959.3237143604,8299
8,10520.051780759808,29380.051780759808,3498
9,12395.935852248658,30215.93585224866,5683
10,23015.275382447508,41735.27538244751,2978
11,47256.18087210049,64156.18087210049,4458
12,3498.5180918955884,20758.51809189559,8876
13,47739.35120323548,66779.35120323548,4157
14,8256.332845719262,26976.332845719262,7205
15,14052.422278951744,34312.422278951744,3864
16,27849.415041095293,46969.41504109529,4889
17,50717.61151723222,68477.61151723222,6275
18,34225.89776142544,53385.89776142544,5602
19,25660.02823477688,44160.02823477688,5614
20,28884.184527332618,48904.18452733262,3265
