scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
s5,1,33254.48774257919,51234.48774257919,0.09166666666666666,154.0,11,0.0
s5,2,23274.59779668195,41654.59779668195,0.12788461538461537,201.0,11,1.9090909090909092
s5,3,38264.5662547909,55644.5662547909,0.14285714285714285,196.0,13,6.230769230769231
s5,4,29158.19628106503,47538.19628106503,0.10100732600732601,222.0,10,1.3
s5,5,39904.53356178882,58424.53356178882,0.11770833333333333,171.0,14,1.5714285714285714
s5,6,34774.037279974065,53694.037279974065,0.12590811965811965,194.0,11,2.6363636363636362
s5,7,26259.3237143604,42959.3237143604,0.12147435897435897,113.0,10,5.4
s5,8,10520.051780759808,29380.051780759808,0.08918269230769231,14.0,8,3.875
s5,9,12395.935852248658,30215.93585224866,0.1203525641025641,161.0,10,6.8
s5,10,23015.275382447508,41735.27538244751,0.12486263736263736,226.0,13,2.5384615384615383
s5,11,47256.18087210049,64156.18087210049,0.126510989010989,182.0,14,1.5714285714285714
s5,12,3498.5180918955884,20758.51809189559,0.07724358974358975,61.0,5,0.0
s5,13,47739.35120323548,66779.35120323548,0.11064814814814815,213.0,15,1.2666666666666666
s5,14,8256.332845719262,26976.332845719262,0.08974358974358974,184.0,8,2.5
s5,15,14052.422278951744,34312.422278951744,0.0926923076923077,244.0,14,2.9285714285714284
s5,16,27849.415041095293,46969.41504109529,0.11858974358974358,168.0,10,3.1
s5,17,50717.61151723222,68477.61151723222,0.1388888888888889,158.0,12,6.166666666666667
s5,18,34225.89776142544,53385.89776142544,0.09323361823361824,219.0,12,3.0
s5,19,25660.02823477688,44160.02823477688,0.10068681318681319,162.0,10,0.5
s5,20,28884.184527332618,48904.18452733262,0.10113960113960115,196.0,13,3.3076923076923075
