run,best_obj
1,882.0056829283021
2,-7533.099618345617
3,-8895.373090109024
4,-11967.258323696547
5,-554.428800213027
6,-8458.637679911037
7,-8430.630159033732
8,-5846.623090109024
9,69.55412676304331
10,-5984.146922172164
11,8532.526686548339
12,-2573.16871786738
13,-846.8771342642431
14,-14803.975756778496
15,2425.995862930944
16,-9612.7537923132
17,-9925.809312833815
18,-5347.71014460906
19,-11834.359614403056
20,-3190.908369808076
