run,best_obj,profit,iterations
1,-10753.697563776965,7006.302436223035,7289
2,-4101.322912607517,12938.677087392483,6556
3,-4988.586718712526,14011.413281287474,5112
4,-4330.679693265836,15969.320306734164,5979
5,124.48395255294963,17324.48395255295,5449
6,-2092.76380765429,16527.23619234571,8561
7,5561.314241536886,23721.314241536886,4645
8,10839.83481981336,26639.83481981336,5633
9,-23.24618021804781,16776.753819781952,8947
10,4730.094586371353,22070.094586371353,6260
11,-10364.131801880121,7835.868198119879,7066
12,-533.7608130145563,17906.239186985444,4786
13,-9036.197679977111,7763.802320022888,7674
14,-1583.58907143764,16476.41092856236,4522
15,-3140.5777227978815,14939.422277202118,3544
16,2068.296782640198,19628.2967826402,6056
17,-2850.541867987782,13649.458132012218,7964
18,632.4115109375707,19732.41151093757,6708
19,15841.689292990224,33321.689292990224,7390
20,2664.9602691451255,22364.960269145125,5234
