scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
s3,1,-10753.697563776965,7006.302436223035,0.15576923076923077,16.0,7,1.5714285714285714
s3,2,-4101.322912607517,12938.677087392483,0.15683760683760684,0.0,7,0.0
s3,3,-4988.586718712526,14011.413281287474,0.15711538461538463,42.0,11,6.7272727272727275
s3,4,-4330.679693265836,15969.320306734164,0.1856570512820513,29.0,9,2.6666666666666665
s3,5,124.48395255294963,17324.48395255295,0.21666666666666667,0.0,3,7.0
s3,6,-2092.76380765429,16527.23619234571,0.16111111111111112,53.0,6,2.6666666666666665
s3,7,5561.314241536886,23721.314241536886,0.14369658119658119,75.0,10,5.6
s3,8,10839.83481981336,26639.83481981336,0.2858974358974359,18.0,8,3.125
s3,9,-23.24618021804781,16776.753819781952,0.15384615384615385,0.0,4,0.5
s3,10,4730.094586371353,22070.094586371353,0.19583333333333333,48.0,7,5.142857142857143
s3,11,-10364.131801880121,7835.868198119879,0.30993589743589745,0.0,5,6.0
s3,12,-533.7608130145563,17906.239186985444,0.184375,47.0,10,3.9
s3,13,-9036.197679977111,7763.802320022888,0.1594551282051282,47.0,8,6.0
s3,14,-1583.58907143764,16476.41092856236,0.14205128205128206,72.0,9,0.7777777777777778
s3,15,-3140.5777227978815,14939.422277202118,0.21068376068376068,99.0,7,1.2857142857142858
s3,16,2068.296782640198,19628.2967826402,0.21314102564102563,105.0,12,2.5833333333333335
s3,17,-2850.541867987782,13649.458132012218,0.175,0.0,4,5.0
s3,18,632.4115109375707,19732.41151093757,0.19252136752136753,23.0,7,0.0
s3,19,15841.689292990224,33321.689292990224,0.17099358974358975,44.0,8,1.75
s3,20,2664.9602691451255,22364.960269145125,0.14435897435897435,45.0,9,1.5555555555555556
