time,evtol_id,state,node_from,node_to,op,is_p,is_o,battery_level,battery_after_op,onboard_passenger_count,onboard_groups,onboard_group_sizes,served_groups_evtol,x,y,x_from,y_from,x_to,y_to
52,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
53,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
54,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
55,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
56,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
57,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
58,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
59,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
60,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
61,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
62,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
63,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
64,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
65,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
66,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
67,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
68,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
69,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
70,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
71,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
72,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
73,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
74,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
75,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
76,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
77,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
78,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
79,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
80,3,flying,1,5,2,0.0,1.0,55.99179200668519,1,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
81,3,flying,1,5,2,0.0,1.0,41.98358401364686,2,2,7;14,7:1;14:1,3;7;14;19,11.489200499999999,55.552876499999996,12.647601,55.629053,10.3308,55.4767
82,3,parked,5,5,,1.0,0.0,41.98358401364686,2,0,,,3;7;14;19,10.3308,55.4767,10.3308,55.4767,10.3308,55.4767
83,3,parked,5,5,,1.0,0.0,41.98358401364686,2,0,,,3;7;14;19,10.3308,55.4767,10.3308,55.4767,10.3308,55.4767
84,3,parked,5,5,,1.0,0.0,41.98358401364686,2,0,,,3;7;14;19,10.3308,55.4767,10.3308,55.4767,10.3308,55.4767
85,3,parked,5,5,,1.0,0.0,41.98358401364686,2,0,,,3;7;14;19,10.3308,55.4767,10.3308,55.4767,10.3308,55.4767
86,3,parked,5,5,,1.0,0.0,41.98358401364686,2,0,,,3;7;14;19,10.3308,55.4767,10.3308,55.4767,10.3308,55.4767
87,3,parked,5,5,,1.0,0.0,41.98358401364686,2,0,,,3;7;14;19,10.3308,55.4767,10.3308,55.4767,10.3308,55.4767
88,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
89,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
90,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
91,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
92,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
93,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
94,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
95,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
96,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
97,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
98,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
99,3,flying,5,3,3,0.0,1.0,41.98358401364686,2,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
100,3,flying,5,3,3,0.0,1.0,53.11791351462733,3,1,7,7:1,3;7;14;19,10.7904,55.588499999999996,10.3308,55.4767,11.25,55.7003
101,3,parked,3,3,,1.0,0.0,53.11791351462733,3,0,,,3;7;14;19,11.25,55.7003,11.25,55.7003,11.25,55.7003
102,3,parked,3,3,,1.0,0.0,53.11791351462733,3,0,,,3;7;14;19,11.25,55.7003,11.25,55.7003,11.25,55.7003
103,3,parked,3,3,,1.0,0.0,53.11791351462733,3,0,,,3;7;14;19,11.25,55.7003,11.25,55.7003,11.25,55.7003
104,3,parked,3,3,,1.0,0.0,53.11791351462733,3,0,,,3;7;14;19,11.25,55.7003,11.25,55.7003,11.25,55.7003
105,3,parked,3,3,,1.0,0.0,53.11791351462733,3,0,,,3;7;14;19,11.25,55.7003,11.25,55.7003,11.25,55.7003
106,3,parked,3,3,,1.0,0.0,53.11791351462733,3,0,,,3;7;14;19,11.25,55.7003,11.25,55.7003,11.25,55.7003
107,3,parked,3,3,,1.0,0.0,53.11791351462733,3,0,,,3;7;14;19,11.25,55.7003,11.25,55.7003,11.25,55.7003
108,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
109,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
110,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
111,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
112,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
113,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
114,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
115,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
116,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
117,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
118,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
119,3,flying,3,5,4,0.0,1.0,53.11791351462733,3,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
120,3,flying,3,5,4,0.0,1.0,49.25224301529346,5,2,3,3:2,3;7;14;19,10.7904,55.588499999999996,11.25,55.7003,10.3308,55.4767
-1,-1,vertiport,1,1,-1,0.0,0.0,NaN,-1,0,,,,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
-1,-1,vertiport,2,2,-1,0.0,0.0,NaN,-1,0,,,,9.151667,55.740278,9.151667,55.740278,9.151667,55.740278
-1,-1,vertiport,3,3,-1,0.0,0.0,NaN,-1,0,,,,11.25,55.7003,11.25,55.7003,11.25,55.7003
-1,-1,vertiport,4,4,-1,0.0,0.0,NaN,-1,0,,,,10.618,56.3,10.618,56.3,10.618,56.3
-1,-1,vertiport,5,5,-1,0.0,0.0,NaN,-1,0,,,,10.3308,55.4767,10.3308,55.4767,10.3308,55.4767
