run,best_obj
1,22541.96285525236
2,21853.034946723452
3,21853.034946723452
4,22227.49073796872
5,21853.034946723452
6,21744.454928056413
7,22541.96285525236
8,21853.034946723452
9,21853.034946723452
10,21853.034946723452
