season,scenario_id,n_VP,n_eVTOL,n_passengers,WS,RP,EEV,EVPI,VSS,ordering_ok
Sommer,1,2,1,2,-868.6314143939013,-1000.0,-1000.0,131.3685856060987,0.0,true
Sommer,2,5,3,10,-5770.923854262514,-6236.618430299358,-6136.16343002907,465.6945760368435,-100.45500027028811,false
Sommer,3,5,5,20,-5114.678617516392,-2633.0376709073557,-2033.0376709073548,-2481.640946609036,-600.0000000000009,false
Sommer,4,5,10,25,-287.8372809248576,501.40484362975076,1465.827485078713,-789.2421245546084,-964.4226414489622,false
