season,scenario_id,n_VP,n_eVTOL,n_passengers,rep,H_obj_RP,actual_profit_RP,H_time_sec,n_committed_poolA,n_active_evtols,first_stage_cost,committed_misses,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
Vinter,1,2,1,2,1,-400.0,-400.0,1425.9953980445862,0,1,400.0,0,0.0,0.0,0.0,0.0
Vinter,2,5,3,10,1,-3837.2356715081223,-3836.6184302993574,9220.91753911972,2,1,400.0,0,0.5610993509954882,17.497436404701848,2.0,10.283034109830686
Vinter,3,5,5,20,1,-2680.1587346970537,-2676.06357667737,12471.37826704979,3,3,1200.0,0,0.6183639655036608,39.217617092833464,3.832797533672948,9.815076852905133
Vinter,4,5,10,25,1,6712.7454408787435,9368.25725320048,7557.282707929611,4,4,1600.0,2,0.7051821810434995,55.75969797385298,4.158992366915607,7.9104579850635535
Vinter,5,10,15,35,1,5952.903681109607,6580.797246567837,4192.879245042801,1,2,800.0,1,0.6598864654258095,9.240994444169676,1.6152298992696636,1.4102906507080797
Vinter,6,10,20,40,1,5593.5907944842,6221.484359942431,5558.514776945114,1,1,400.0,1,0.04700968835693599,3.06945612212935,0.9897126465205994,1.5762071978502068
