season,scenario_id,n_VP,n_eVTOL,n_passengers,WS,RP,EEV,EVPI,VSS,ordering_ok
Sommer,1,2,1,2,-277.40064516313197,-400.0,-400.0,122.59935483686803,0.0,true
Sommer,2,5,3,10,-3305.846931185591,-3836.618430299358,-3836.618430299359,530.7714991137668,9.094947017729282e-13,true
