season,scenario_id,n_VP,n_eVTOL,n_passengers,rep,H_obj_RP,actual_profit_RP,H_time_sec,n_committed_poolA,n_active_evtols,first_stage_cost,committed_misses,mean_poolA_served,mean_poolB_served,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
Vinter,1,2,1,2,1,-1000.0,-1000.0,2526.413731098175,0,1,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Vinter,2,5,3,10,1,-3400.0,-3400.0,11162.874066114426,0,1,3400.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Vinter,3,5,5,20,1,-6685.430640814303,-6640.809810932535,19442.041741847992,2,3,6600.0,0,1.9999999999999996,1.802877977759369,0.7010357780873727,20.0750935060371,3.802877977759368,7.9414379220322795
Vinter,4,5,10,25,1,-9441.351970948212,-5834.462772464388,20643.431656837463,4,5,8300.0,3,3.936029947034163,2.2016341591987345,0.7064943065735928,79.86781760674748,6.137664106232898,9.962775183874285
Vinter,5,10,15,35,1,-8044.4769776347675,-7963.917698572589,39877.57557582855,1,1,10600.0,0,0.9999999999999998,0.0,0.6222307883793123,21.145128900268592,0.9999999999999998,0.6069357632351833
Vinter,6,10,20,40,1,-15166.533287926417,-12812.790724480376,19577.546302080154,1,4,13300.0,2,0.9548378391947182,0.7561186836358157,0.6190546659930884,31.78162574993096,1.7109565228305341,1.8138351281471996
