season,scenario_id,n_VP,n_eVTOL,n_passengers,WS,RP,EEV,EVPI,VSS,ordering_ok
Vinter,1,2,1,2,-828.6630841692786,-1000.0,-652.7051541554589,171.3369158307214,-347.2948458445411,false
Vinter,2,5,3,10,-5574.79076174284,-6236.618430299357,-6236.618430299358,661.827668556517,9.094947017729282e-13,true
Vinter,3,5,5,20,-4203.414128362906,-8760.825811744144,-5030.5239916332785,4557.411683381238,-3730.3018201108653,false
Vinter,4,5,10,25,739.3857137710696,4676.779776749243,-5760.916195075804,-3937.394062978173,10437.695971825047,false
