season,scenario_id,n_VP,n_eVTOL,n_passengers,rep,H_obj_RP,actual_profit_RP,H_time_sec,n_committed_poolA,n_active_evtols,first_stage_cost,committed_misses,mean_poolA_served,mean_poolB_served,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
Sommer,1,2,1,2,1,3193.9140739268605,3393.39459340738,1355.9973449707031,1,1,400.0,0,1.0,0.5584415584415584,0.7327705627705627,8.376623376623376,1.5584415584415583,4.792207792207792
Sommer,2,5,3,10,1,-3836.6184302993584,-3836.618430299358,9990.757989883423,2,1,400.0,0,2.0,0.0,0.5656060606060606,17.623376623376622,2.0,11.194805194805195
