scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
s1,3,-4011.6113104306496,14188.38868956935,0.10608974358974359,35.0,8,2.875
s1,4,5365.61649813789,23065.61649813789,0.10982905982905983,27.0,5,1.4
s1,5,-4759.726431975954,14140.273568024046,0.10726495726495726,14.0,7,0.42857142857142855
s1,6,-2393.6569582770935,14506.343041722906,0.09166666666666666,27.0,5,0.0
s1,7,7951.828833582458,24651.828833582458,0.14487179487179488,19.0,7,2.4285714285714284
s1,8,8312.99095226462,24912.99095226462,0.13942307692307693,96.0,9,1.6666666666666667
s1,9,7371.753819781945,25371.753819781945,0.11538461538461539,0.0,4,0.0
s1,10,7400.675122595836,24620.675122595836,0.11658653846153846,32.0,8,2.375
s1,11,-10123.453992693896,7416.546007306104,0.09732905982905983,0.0,6,0.8333333333333334
s1,12,-5874.492262327338,12525.507737672662,0.10192307692307692,31.0,4,6.25
s1,13,-5974.040215123765,12845.959784876235,0.08979700854700855,88.0,9,2.111111111111111
s1,14,2084.053217172008,20024.053217172008,0.09487179487179487,40.0,5,0.0
s1,15,12429.266407135328,29769.26640713533,0.09955128205128205,65.0,9,0.0
s1,16,2781.9503443082285,19781.95034430823,0.12393162393162394,104.0,12,10.166666666666666
s1,17,-4759.253355909455,13440.746644090545,0.08440170940170941,30.0,5,7.8
s1,18,14409.830694116747,31649.830694116747,0.12006410256410256,53.0,9,1.3333333333333333
s1,19,8930.546370541564,25930.546370541564,0.1735576923076923,0.0,6,1.8333333333333333
s1,20,887.1032144844867,18287.103214484487,0.10128205128205128,18.0,6,0.0
s2,1,15330.701589492266,32830.701589492266,0.15876068376068375,99.0,10,1.3
s2,2,22593.20297643765,41293.20297643765,0.18637820512820513,207.0,11,4.181818181818182
s2,3,15142.700203572771,33942.70020357277,0.17077991452991453,159.0,10,6.4
s2,4,27051.575982489892,45671.57598248989,0.16822916666666668,234.0,12,1.6666666666666667
s2,5,9700.577211966658,28320.577211966658,0.14973290598290598,113.0,9,5.0
s2,6,12649.839247427608,30469.839247427608,0.22110042735042734,169.0,11,1.8181818181818181
s2,7,25517.232669510624,43237.232669510624,0.1489010989010989,147.0,11,2.5454545454545454
s2,8,22400.818961754696,39140.818961754696,0.1920940170940171,185.0,11,5.636363636363637
s2,9,26480.275521631316,45840.275521631316,0.11983173076923077,144.0,10,0.0
s2,10,43957.75848293048,61597.75848293048,0.1815934065934066,158.0,14,3.357142857142857
