Fra Station:,Aalborg,Aalborg Lufthavn,Aalborg Vestby,Aarhus H,Aarup,Albertslund,Alken,Allerød,Arden,Aulum,Avedøre,Bagsværd,Ballerup,Bedsted Thy,Bernstorffsvej,Birk Centerpark,Birkerød,Bispebjerg,Bjerringbro,Bording,Borris,Borup,Bramming,Brande,Bred,Bredebro,Brejning,Brøndby Strand,Brøndbyøster,Brønderslev,Brøns,Brørup,Buddinge,Bur,Børkop,Carlsberg,Charlottenlund,Danshøj,Dybbølsbro,Dyssegård,Døstrup Sdj,Egedal,Ejby,Emdrup,Engesvang,Esbjerg,Eskilstrup,Espergærde,Farum,Favrholm Station,Flintholm,Fredericia,Frederikshavn,Frederikssund,Friheden,Fruens Bøge,Fuglebakken,Gadstrup,Gelsted,Gentofte,Give,Gjesing,Glostrup,Glumsø,Gredstedbro,Greve,Gråsten,Grøndal,Guldager,Gårde,Gødstrup,Gørding,Hadsten,Hammerum,Hareskov,Haslev,Havdrup,Hedehusene,Hedensted,Hee,Hellerup,Helsingør,Herfølge,Herlev,Herning,Herning Messecenter,Hillerød,Hinnerup,Hjallese,Hjerm,Hjørring,Hjørring Øst,Hobro,Holbæk,Holme-Olstrup,Holmstrup,Holstebro,Holsted,Holte,Horsens,Humlebæk,Humlum,Hundige,Hurup Thy,Husum,Hvalsø,Hvidbjerg,Hviding,Hvidovre,Højby,Høje Taastrup,Højslev,Hørdum,Hørning,Høvelte,Ikast,Ishøj,Islev,Jelling,Jerne,Jersie,Jyderup,Jyllingevej,Jægersborg,KB Hallen,Kalundborg,Kalundborg Øst,Karlslunde,Kauslunde,Kibæk,Kildebakke,Kildedal,Klampenborg,Kliplev,Knabstrup,Kokkedal,Kolding,Korsør,Kvissel,Kværndrup,København H,København Syd (Ny Ellebjerg),"Københavns Lufthavn, Kastrup",Køge,Køge Nord,Langeskov,Langgade,Langå,Laven,Lejre,Lem,Lille Skensved,Lindholm,Lundby,Lunderskov,Lyngby,Lyngs,Malmparken,Middelfart,Måløv,Mørkøv,Nivå,Nordhavn,Nyborg,Nykøbing F,Næstved,Næstved Nord,Nørre Aaby,Nørre Alslev,Nørrebro,Nørreport,Oddesund Nord,Odense,Odense Sygehus,Ordrup,Padborg,Pederstrup,Peter Bangs Vej,Randers,Regstrup,Rejsby,Ribe,Ribe Nørremark,Ringe,Ringkøbing,Ringsted,Roskilde,Roskilde Festivalsplads,Rudme,Rungsted Kyst,Ry,Ryparken,Rødekro,Rødkærsbro,Rødovre,Sejstrup,Sig,Silkeborg,Sindal,Sjælør,Sjørring,Skalbjerg,Skalborg,Skanderborg,Skive,Skjern,Skodsborg,Skovbrynet,Skovlunde,Skærbæk,Skørping,Slagelse,Snedsted,Snekkersten,Solrød Strand,Sorgenfri,Sorø,Spangsbjerg,Sparkær,Stengården,Stenløse,Stenstrup,Stenstrup Syd,Stoholm,Struer,Studsgård,Støvring,Svanemøllen,Svebølle,Svejbæk,Svendborg,Svendborg Vest,Svenstrup,Sydhavn,Sønderborg,Taastrup,Tarm,Taulov,Thisted,Thyregod,Tim,Tinglev,Tistrup,Tjæreborg,Tolne,Tommerup,Trekroner,Troldhede,Tureby,Tårnby,Tølløse,Tønder,Tønder Nord,Uglev,Ulfborg,Ulstrup,Valby,Vallensbæk,Vamdrup,Vangede,Vanløse,Varde,Varde Kaserne,Varde Nord,Vedbæk,Vejen,Vejle,Vejle Sygehus,Veksø,Vemb,Vesterport,Viborg,Viby J,Viby Sj,Vigerslev Allé,Vildbjerg,Vinderup,Vinge,Vipperød,Virum,Visby,Vojens,Vordingborg,Vrå,Værløse,Ydby,Ålholm,Åmarken,Årslev,Ølby,Ølgod,Ølstykke,Ørestad,Østerport
Gelsted,53,2,2,271,-1,0,0,16,0,0,0,0,7,0,0,0,4,0,0,3,0,4,30,3,-1,0,-1,0,0,0,0,3,10,0,-1,5,3,0,3,0,1,3,-1,3,0,193,0,1,10,0,4,-1,8,0,0,-1,10,0,-1,0,4,0,21,0,5,3,0,0,0,0,0,1,3,4,3,0,0,0,-1,0,104,26,0,22,48,0,8,1,-1,5,3,0,13,6,0,-1,11,1,10,62,2,0,0,0,0,0,0,6,0,-1,68,0,0,0,0,6,0,4,186,0,3,0,3,3,0,0,0,0,-1,0,0,0,6,2,0,3,-1,31,0,-1,845,38,148,15,20,-1,0,5,0,0,0,0,2,2,-1,8,0,0,-1,3,0,0,4,125,4,11,0,-1,0,7,93,0,-1,-1,0,21,-1,0,28,0,13,4,0,-1,0,38,93,0,-1,6,9,3,18,0,0,4,0,74,0,3,0,-1,0,39,10,3,0,0,0,0,0,48,0,2,7,0,36,0,0,0,0,-1,-1,0,9,0,0,7,0,1,213,89,0,0,15,0,4,-1,6,5,0,1,4,6,0,-1,2,0,0,1,0,0,0,0,1,0,76,0,-1,0,0,2,4,0,1,22,-1,-1,0,0,0,7,6,0,0,6,0,0,0,0,0,-1,14,8,3,0,0,0,-1,1,4,0,8,58
Gentofte,35,0,0,227,0,-1,0,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,2,0,0,-1,33,0,0,0,3,-1,-1,7,0,0,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,-1,0,49,5,-1,-1,-1,-1,83,3,-1,-1,4,-1,-1,0,-1,0,0,-1,89,0,-1,3,-1,0,0,0,0,23,1,-1,109,-1,-1,0,0,-1,-1,-1,-1,37,0,-1,1,4,0,5,0,25,693,12,0,5,3,-1,79,-1,0,-1,4,-1,-1,0,5,-1,4,-1,0,0,0,-1,0,-1,-1,5,0,-1,87,-1,-1,-1,85,11,-1,0,0,-1,-1,-1,0,2,-1,49,61,0,4,-1,-1,-1,-1,-1,5,-1,0,0,-1,0,-1,3,12,0,-1,0,-1,137,-1,93,-1,-1,614,285,717,6,54,38,-1,-1,0,897,36,-1,0,4,-1,44,79,84,7,1,33,0,485,-1,-1,0,-1,13,-1,14,0,-1,0,0,28,7,-1,0,0,0,58,0,3,-1,-1,-1,11,7,485,4,-1,-1,-1,229,1,0,-1,-1,7,0,0,11,0,0,-1,7,0,73,18,0,-1,1,-1,0,0,7,0,0,11,0,0,2,10,-1,0,37,-1,202,4,0,0,0,0,-1,-1,3,-1,-1,5,0,0,-1,16,106,4,-1,0,-1,20,1,-1,-1,1,0,-1,28,-1,0,20,190,0,-1,0,-1,-1,0,-1,0,-1,-1,-1
Give,209,0,7,2978,37,1,-1,2,2,47,0,4,5,7,0,-1,4,0,11,-1,-1,1,13,-1,2,0,-1,0,0,46,0,-1,10,1,-1,13,7,4,6,0,0,4,33,47,-1,35,0,7,14,0,4,-1,0,5,1,4,0,0,6,0,-1,5,5,2,3,5,1,0,2,-1,-1,-1,64,-1,0,0,0,1,-1,7,132,30,0,1,-1,-1,11,16,0,8,8,0,73,17,0,0,861,-1,4,-1,0,22,0,22,1,19,14,0,1,6,53,15,20,17,0,-1,0,0,-1,0,0,4,0,5,4,0,0,0,1,-1,0,0,9,1,0,23,-1,33,0,0,2551,22,308,9,24,18,0,91,-1,0,4,0,1,4,-1,20,2,0,-1,11,0,5,7,55,14,59,0,9,0,0,41,0,1064,50,7,7,0,0,40,0,2,0,4,11,23,91,123,0,0,0,-1,7,58,0,0,6,-1,-1,0,4,15,0,6,-1,88,-1,0,0,6,0,27,197,13,4,0,4,14,4,0,0,0,0,0,7,365,-1,7,1,3,-1,40,7,14,0,17,5,-1,-1,80,-1,10,24,-1,0,0,5,8,-1,0,1,4,0,0,6,23,1,47,1,-1,6,5,23,1,3,0,-1,-1,-1,0,5,0,21,120,0,0,-1,10,0,0,7,0,80,7,4,6,4,0,5,8,0,-1,0,13,5
Gjesing,1,0,0,74,0,4,0,0,0,0,0,0,0,0,0,37,0,0,1,2,38,0,-1,14,0,5,0,0,0,1,-1,-1,0,1,1,0,0,0,7,0,-1,0,0,0,11,-1,0,4,0,0,0,50,0,0,0,1,0,0,0,0,0,-1,8,0,-1,0,4,0,-1,-1,3,-1,0,33,0,0,0,0,2,1,8,15,0,4,369,56,1,0,2,0,2,0,9,1,0,0,75,-1,0,38,0,0,0,3,0,0,0,-1,0,0,9,0,0,0,0,29,0,0,0,-1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,222,4,0,0,19,0,3,0,0,0,0,0,2,0,4,0,0,0,19,0,0,0,10,4,0,0,3,4,0,0,0,0,0,0,3,0,48,7,0,1,0,0,6,0,-1,-1,-1,1,129,2,1,0,0,0,4,0,3,0,0,-1,-1,73,0,0,0,0,0,9,20,-1,0,0,0,-1,0,2,1,0,0,0,0,-1,0,0,0,0,0,0,59,5,0,0,0,0,5,0,12,0,6,3,-1,4,4,2,5,5,-1,-1,0,0,0,9,0,0,0,10,12,15,9,2,0,0,27,0,0,-1,-1,-1,0,-1,74,7,0,27,0,12,9,0,0,17,1,0,0,1,2,23,0,0,0,1,0,0,0,0,-1,0,2,0
Glostrup,81,3,0,672,5,-1,6,-1,10,6,-1,-1,-1,0,-1,0,-1,-1,10,0,0,-1,53,38,7,0,9,-1,-1,20,1,28,-1,0,0,-1,-1,-1,-1,-1,0,-1,17,-1,3,126,54,-1,-1,-1,-1,582,11,-1,-1,1,-1,-1,21,-1,5,8,-1,382,0,-1,17,-1,0,0,10,1,18,1,-1,-1,-1,-1,38,0,-1,-1,-1,-1,125,0,-1,17,31,0,12,0,48,-1,43,0,35,8,-1,229,-1,0,-1,1,-1,-1,0,0,-1,6,-1,25,0,0,-1,20,-1,-1,10,7,-1,763,-1,-1,-1,1395,388,-1,3,0,-1,-1,-1,3,59,-1,351,1096,3,5,-1,-1,-1,-1,-1,93,-1,9,1,-1,1,-1,7,106,16,-1,1,-1,384,-1,343,-1,-1,1837,1826,8375,11,75,126,-1,-1,0,11289,57,-1,1,0,-1,77,-1,0,17,0,57,5,-1,-1,-1,0,-1,13,-1,54,3,-1,1,1,98,0,-1,4,0,0,248,51,12,-1,-1,-1,14,8,6601,0,-1,-1,-1,3537,1,0,-1,-1,15,0,4,78,0,7,-1,280,0,84,36,0,-1,17,-1,2,0,21,1,0,17,1,0,0,25,-1,0,-1,-1,-1,1,0,0,0,4,-1,-1,7,-1,-1,46,0,0,-1,84,504,0,-1,1,-1,46,15,-1,-1,19,4,-1,-1,-1,0,44,1127,0,-1,1,-1,-1,26,-1,10,-1,-1,-1
Glumsø,24,0,0,118,0,917,0,67,1,0,39,54,35,0,5,0,31,33,0,0,0,-1,1,11,1,0,16,49,89,0,0,0,31,0,0,310,14,50,305,8,0,5,0,37,0,21,48,12,44,0,69,44,3,17,42,4,63,-1,0,89,4,0,382,-1,0,-1,3,21,0,0,0,0,3,0,9,-1,-1,-1,3,0,303,119,-1,103,25,0,89,0,4,0,0,0,2,-1,-1,0,2,6,22,16,20,0,-1,0,418,-1,0,0,129,0,-1,0,0,5,0,4,29,32,0,0,-1,-1,46,33,19,13,7,-1,0,0,24,4,97,0,-1,58,48,-1,0,0,12572,236,1799,-1,-1,7,7,7,0,-1,0,-1,0,-1,3,300,0,21,22,17,-1,8,1299,228,494,-1,-1,1,57,271,5320,0,452,4,20,0,0,52,9,-1,0,6,18,4,0,-1,-1,-1,0,0,0,96,15,0,168,0,0,5,0,31,0,0,0,35,0,12,4,13,27,0,1,-1,0,8,-1,10,-1,0,0,39,14,0,0,0,2,0,0,136,-1,0,4,4,0,73,5,124,0,0,1,0,0,0,0,0,0,0,-1,0,-1,81,-1,0,0,0,0,0,3085,35,2,19,133,4,0,0,3,9,25,0,23,0,152,34,4,-1,26,1,0,1,-1,9,0,0,-1,0,72,0,5,4,0,-1,6,4,451,1225
Gredstedbro,2,0,0,66,1,0,4,0,19,0,0,0,0,0,0,0,2,4,6,0,0,0,-1,14,0,-1,6,0,0,0,-1,-1,0,0,4,0,0,0,0,0,-1,0,0,0,2,-1,0,0,4,0,0,88,0,0,0,0,4,0,5,0,0,-1,0,0,-1,0,6,0,-1,-1,2,-1,1,2,0,0,0,0,0,3,0,0,0,6,54,0,0,0,0,0,5,0,0,0,0,0,18,-1,0,18,0,0,0,0,4,0,0,-1,0,0,30,0,1,0,0,0,0,2,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,-1,0,0,0,68,0,11,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,25,0,0,0,3,3,1,0,0,4,0,0,9,0,64,5,0,4,0,0,5,0,-1,-1,-1,17,2,15,1,0,0,0,2,0,69,0,0,-1,-1,0,0,0,0,0,0,14,2,14,0,0,10,-1,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,29,3,0,0,0,0,0,1,0,0,6,0,0,0,0,5,0,2,-1,-1,0,0,0,0,0,0,0,25,23,28,0,0,5,0,-1,0,1,-1,-1,-1,0,-1,143,0,0,1,2,0,4,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,4,8
Greve,56,7,7,99,7,-1,4,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,4,0,0,-1,0,25,3,0,0,-1,-1,0,0,3,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,23,2,-1,-1,-1,-1,99,8,-1,-1,6,-1,-1,3,-1,5,0,-1,-1,0,-1,3,-1,0,0,0,0,4,0,-1,-1,-1,-1,7,0,-1,173,-1,-1,25,0,-1,0,0,0,1,0,3,-1,-1,0,7,3,-1,26,-1,1,-1,0,-1,-1,0,1,-1,0,-1,0,0,0,-1,1,-1,-1,13,0,-1,6,-1,-1,-1,11,1,-1,0,0,-1,-1,-1,0,-1,-1,55,62,0,4,-1,-1,-1,-1,-1,0,-1,0,1,-1,0,-1,0,55,0,-1,0,-1,45,-1,10,-1,-1,221,363,1817,-1,0,48,-1,-1,0,433,5,-1,0,0,-1,22,-1,17,0,0,4,0,-1,-1,-1,0,-1,0,-1,1,0,-1,0,4,14,0,-1,0,0,0,21,0,0,-1,-1,-1,0,3,531,0,36,-1,-1,-1,0,0,-1,-1,10,0,0,0,0,0,-1,7,1,12,5,3,-1,5,-1,0,0,6,0,0,16,0,0,0,3,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,15,0,0,-1,1,75,0,-1,0,-1,15,0,-1,-1,17,0,-1,-1,-1,0,24,410,0,-1,0,-1,-1,4,-1,0,-1,-1,-1
Gråsten,366,0,2,2002,15,4,0,21,5,0,0,3,16,0,1,1,11,0,7,10,0,0,129,11,1,1,53,3,0,8,0,9,1,0,4,1,8,0,10,8,0,7,11,4,0,629,0,9,1,0,8,701,0,7,3,6,0,0,7,3,2,4,17,2,6,3,-1,0,4,1,0,12,36,1,0,1,0,10,31,0,282,46,3,5,127,0,55,7,12,0,34,0,51,42,0,1,69,16,13,219,8,0,0,0,17,12,0,8,4,6,203,0,0,4,0,22,36,4,15,9,3,3,0,33,7,0,0,3,0,0,0,13,24,-1,0,25,2136,63,0,0,5816,31,678,39,54,13,0,60,0,7,0,0,23,1,300,25,0,7,151,10,0,3,16,108,87,91,1,29,0,0,83,0,2358,68,4,-1,0,4,43,0,6,9,5,54,8,243,325,0,4,10,4,4,-1,0,3,0,0,80,8,8,0,0,2,167,28,13,6,0,0,2,17,191,0,12,0,0,57,1,0,10,13,4,0,0,31,0,11,2,0,6,88,35,4,9,-1,2,1,14,6,8,2,-1,1,15,0,21,10,0,0,15,4,-1,-1,0,0,0,217,3,328,3,20,45,6,4,4,145,408,6,0,0,0,38,25,3,0,6,0,0,1,1,0,-1,31,3,1,0,0,17,47,2,16,0,15,64
Grøndal,18,0,0,44,0,-1,0,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,0,0,0,-1,0,1,0,0,0,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,1,27,0,-1,-1,-1,-1,16,0,-1,-1,0,-1,-1,0,-1,0,0,-1,21,0,-1,0,-1,0,0,0,0,4,0,-1,142,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,788,25,0,0,0,-1,8,-1,0,-1,0,-1,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,0,0,-1,11,-1,-1,-1,81,3,-1,0,1,-1,-1,-1,0,2,-1,25,77,0,4,-1,-1,-1,-1,-1,2,-1,3,0,-1,0,-1,0,13,0,-1,0,-1,70,-1,17,-1,-1,231,191,567,15,3,17,-1,-1,0,304,6,-1,0,0,-1,0,7,0,5,0,1,0,971,-1,-1,0,-1,0,-1,0,0,-1,0,0,4,0,-1,0,0,0,4,1,0,-1,-1,-1,6,1,514,0,-1,-1,-1,305,0,0,-1,-1,0,4,1,4,0,0,-1,2,0,29,4,0,-1,1,-1,0,0,0,0,0,0,0,0,0,3,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,7,28,0,-1,0,-1,1,0,-1,-1,0,0,-1,-1,-1,0,3,173,0,-1,0,-1,-1,0,-1,0,-1,-1,-1
Guldager,5,0,0,28,0,0,0,0,0,2,0,0,0,0,0,22,0,0,0,0,-1,0,-1,4,0,7,0,0,0,0,-1,-1,0,0,0,0,0,0,4,0,2,0,0,0,3,-1,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,4,0,-1,-1,5,-1,0,13,0,0,0,0,0,1,0,0,0,0,259,28,0,0,0,0,0,0,0,0,0,0,45,-1,0,16,0,0,0,3,0,0,2,-1,0,0,0,9,0,3,0,23,0,0,1,-1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,605,0,0,0,35,0,0,0,0,0,0,0,2,0,8,0,4,0,5,0,0,0,52,0,0,0,3,2,0,0,0,0,0,0,11,0,23,2,0,0,0,0,0,0,-1,-1,-1,0,26,7,0,0,0,0,2,0,4,0,0,-1,-1,28,0,0,3,0,0,2,14,-1,0,0,0,-1,0,4,0,0,0,0,0,-1,0,0,0,0,0,0,51,2,0,0,0,0,5,1,0,0,4,0,-1,0,7,0,0,0,-1,-1,0,0,0,7,0,0,0,9,3,0,1,0,1,0,1,0,0,-1,-1,-1,0,-1,45,0,0,8,0,6,4,0,0,2,1,0,0,0,2,42,0,0,0,0,0,0,0,0,-1,0,0,1
Gårde,30,0,0,45,0,0,3,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,2,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,0,0,0,2,0,-1,0,1,0,0,0,22,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,1,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,-1,6,0,0,0,-1,-1,1,0,0,0,1,0,4,2,0,0,20,-1,0,6,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,41,2,0,0,8,1,0,0,0,0,0,0,1,0,-1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,4,0,0,-1,-1,0,-1,8,0,0,0,6,12,0,0,0,0,-1,-1,24,0,4,0,0,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,10,-1,0,0,0,0,2,4,0,0,4,0,-1,0,2,-1,1,2,-1,-1,0,0,0,-1,0,0,0,0,0,0,10,0,0,0,1,0,0,-1,-1,-1,0,-1,14,0,0,0,0,3,18,0,0,-1,8,0,0,0,0,8,34,0,0,0,0,0,0,0,-1,0,0,4
Gødstrup,53,0,6,1865,6,4,18,4,0,-1,0,0,4,2,0,-1,0,0,11,-1,-1,0,5,-1,0,0,4,0,4,8,0,0,6,-1,0,4,0,0,4,0,0,0,0,6,-1,11,0,6,10,0,6,75,4,0,0,0,0,0,0,0,-1,10,10,0,2,0,0,0,3,-1,-1,0,10,-1,0,0,0,0,27,-1,14,0,0,4,-1,-1,6,2,0,-1,12,0,104,0,0,0,-1,0,0,150,4,-1,0,20,4,0,84,0,0,4,23,-1,0,13,0,-1,0,6,568,0,0,0,0,4,0,0,0,0,0,-1,0,0,4,0,0,4,27,4,0,0,349,4,17,6,4,19,10,2,3,0,-1,0,4,0,4,24,7,0,27,37,0,0,4,4,4,10,0,0,0,6,6,0,46,0,0,0,0,4,27,0,0,0,0,0,-1,64,6,0,0,0,122,0,27,-1,0,0,0,-1,0,4,41,0,0,130,-1,-1,0,0,4,2,0,24,2,0,0,0,0,0,-1,0,4,0,0,-1,-1,-1,4,6,0,-1,8,4,0,0,13,0,-1,0,39,-1,-1,4,5,0,4,0,0,-1,0,0,0,0,0,2,-1,0,8,0,0,0,17,16,0,0,0,10,314,16,0,-1,0,-1,66,0,0,-1,-1,0,0,0,0,24,0,0,4,5,0,0,0,0,-1,4,13,4
Gørding,126,0,2,718,4,0,0,0,6,1,0,0,3,0,0,0,0,0,0,1,0,0,-1,0,0,-1,9,0,0,0,-1,-1,0,0,1,0,0,0,0,0,-1,0,1,0,18,-1,0,1,0,0,0,353,0,0,0,4,0,0,2,0,-1,-1,1,0,-1,0,11,0,-1,-1,0,-1,20,1,0,0,0,4,47,0,9,0,0,3,46,0,12,1,0,1,8,0,9,0,0,0,10,-1,0,112,0,0,0,0,16,1,0,-1,0,0,19,0,0,0,0,12,0,0,2,-1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,-1,2,0,0,208,3,29,8,4,2,0,8,0,0,0,0,1,0,-1,0,0,0,72,0,0,0,1,7,15,2,0,2,0,0,16,0,221,0,1,4,0,0,28,0,-1,-1,-1,0,8,6,41,0,0,0,2,0,14,0,0,-1,-1,26,0,0,0,0,0,56,28,13,0,0,0,-1,3,33,1,0,0,0,1,-1,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,10,0,14,72,1,5,0,11,-1,-1,0,2,2,1,0,1,0,211,12,23,1,0,16,0,-1,0,0,-1,-1,-1,0,-1,212,0,0,3,0,20,27,0,0,0,0,0,0,0,6,-1,22,3,0,0,0,0,0,0,-1,0,4,7
Hadsten,10385,24,66,-1,29,9,-1,25,260,38,0,3,3,21,3,10,19,0,-1,5,0,10,98,24,0,0,90,13,0,300,20,61,3,0,49,14,12,8,142,4,0,0,8,7,-1,409,2,6,4,0,7,887,216,6,0,6,0,3,3,23,64,0,18,1,1,4,32,4,3,0,10,17,-1,24,0,0,0,0,154,0,131,43,0,7,197,3,50,-1,0,0,554,89,-1,3,0,0,465,29,4,1582,21,0,0,9,7,5,9,10,2,0,143,54,3,-1,0,46,120,0,30,16,1,0,0,0,0,0,0,3,0,0,0,8,11,10,0,26,469,70,3,5,3813,93,408,32,111,13,5,-1,-1,0,0,0,56,0,42,12,34,7,217,8,0,10,38,290,23,49,0,12,2,0,156,0,1362,7,0,18,0,4,-1,0,0,26,0,23,36,149,253,0,4,24,-1,7,76,-1,9,0,2,-1,146,7,20,5,234,-1,885,27,0,0,10,0,569,261,15,5,1,6,149,15,27,11,28,0,0,76,483,0,239,202,0,-1,43,17,192,13,131,11,13,60,56,84,1,64,0,6,108,4,24,1,0,15,2,3,0,32,6,-1,111,5,66,1,9,26,4,2,12,142,1712,0,3,83,0,-1,-1,12,0,41,114,0,0,0,1,99,20,71,1,10,0,15,22,0,0,4,66,77
Hammerum,354,0,17,1888,9,0,-1,0,4,-1,0,0,0,6,0,-1,0,0,-1,-1,-1,0,3,-1,0,0,45,0,0,5,0,0,0,-1,0,0,0,0,0,0,3,0,0,5,-1,83,0,0,0,0,0,147,18,0,0,0,0,0,4,1,-1,18,1,0,2,0,1,0,9,-1,-1,1,20,-1,0,0,0,0,20,-1,17,0,0,0,-1,-1,15,25,0,-1,74,0,65,0,0,0,-1,0,4,351,0,4,0,1,0,0,3,0,0,0,9,-1,1,39,0,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,73,0,0,3,92,0,17,6,11,5,0,16,-1,2,-1,0,4,0,0,1,0,0,7,0,0,0,2,5,2,6,0,0,4,0,2,0,75,0,4,0,0,0,339,0,0,23,7,0,3,29,12,0,0,0,-1,4,15,-1,0,0,3,-1,23,0,2,0,0,231,-1,-1,0,0,4,0,26,32,0,4,0,24,1,0,-1,0,0,0,0,-1,-1,-1,70,0,0,-1,5,5,0,0,9,0,-1,0,15,-1,-1,6,4,0,0,0,0,-1,0,0,0,0,0,2,-1,0,4,0,6,0,0,31,0,44,0,36,433,52,0,1,0,-1,171,0,0,-1,-1,0,0,0,0,35,10,2,0,0,0,0,0,0,-1,0,1,3
Hareskov,13,3,0,252,11,-1,0,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,4,0,0,-1,3,0,3,0,0,-1,-1,0,0,3,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,26,2,-1,-1,-1,-1,55,0,-1,-1,0,-1,-1,3,-1,0,0,-1,9,0,-1,0,-1,0,0,0,0,0,0,-1,31,-1,-1,7,0,-1,-1,-1,-1,43,0,-1,0,4,0,0,0,10,-1,0,0,0,0,-1,30,-1,0,-1,0,-1,-1,0,0,-1,0,-1,0,0,0,-1,3,-1,-1,6,3,-1,3,-1,-1,-1,14,2,-1,0,0,-1,-1,-1,0,9,-1,25,8,0,0,-1,-1,-1,-1,-1,3,-1,0,0,-1,0,-1,0,15,3,-1,0,-1,82,-1,5,-1,-1,477,86,80,2,13,4,-1,-1,0,547,20,-1,3,0,-1,20,1,0,0,0,40,0,102,-1,-1,0,-1,6,-1,11,0,-1,0,0,24,0,-1,0,0,0,57,7,8,-1,-1,-1,0,3,140,0,-1,-1,-1,34,0,0,-1,-1,0,0,0,0,0,0,-1,0,5,47,13,0,-1,15,-1,0,0,0,1,0,7,0,0,0,10,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,1,5,0,-1,0,116,0,-1,0,-1,7,4,-1,-1,4,0,-1,-1,-1,0,4,37,0,-1,0,-1,-1,0,-1,0,-1,-1,-1
Haslev,25,0,0,57,0,-1,0,210,0,0,-1,121,231,0,62,0,195,382,0,0,0,-1,0,4,0,0,0,-1,-1,0,0,0,145,0,0,257,143,66,2472,58,0,55,0,198,4,4,20,46,131,1,507,3,0,156,-1,0,378,-1,0,109,0,0,-1,-1,0,-1,1,142,0,0,0,0,0,0,31,-1,-1,-1,0,0,2621,182,-1,429,12,0,535,0,0,0,0,0,0,-1,-1,0,12,0,162,8,28,0,-1,0,234,-1,0,0,-1,0,-1,0,0,0,9,0,-1,83,0,0,-1,26,66,73,293,20,4,-1,0,0,154,27,515,0,-1,70,31,6,0,0,36115,6073,1578,-1,-1,8,29,3,0,-1,0,-1,0,-1,0,701,0,195,11,91,-1,55,1166,36,2525,-1,-1,0,-1,786,14910,0,440,0,89,0,0,56,17,-1,0,0,0,0,0,-1,-1,-1,0,52,0,1238,4,0,-1,0,0,2,0,892,0,0,0,2,0,0,31,12,192,0,0,-1,0,23,-1,86,-1,0,0,140,84,0,0,0,12,0,0,1469,1,0,0,0,0,856,0,-1,2,0,0,0,0,2,0,0,0,0,-1,0,-1,493,-1,0,0,0,0,0,5027,-1,0,86,128,1,0,0,36,0,14,0,-1,0,1192,0,0,-1,-1,1,1,3,-1,198,0,1,-1,0,99,0,265,-1,0,-1,0,22,1382,3747
