Fra Station:,Aalborg,Aalborg Lufthavn,Aalborg Vestby,Aarhus H,Aarup,Albertslund,Alken,Allerød,Arden,Aulum,Avedøre,Bagsværd,Ballerup,Bedsted Thy,Bernstorffsvej,Birk Centerpark,Birkerød,Bispebjerg,Bjerringbro,Bording,Borris,Borup,Bramming,Brande,Bred,Bredebro,Brejning,Brøndby Strand,Brøndbyøster,Brønderslev,Brøns,Brørup,Buddinge,Bur,Børkop,Carlsberg,Charlottenlund,Danshøj,Dybbølsbro,Dyssegård,Døstrup Sdj,Egedal,Ejby,Emdrup,Engesvang,Esbjerg,Eskilstrup,Espergærde,Farum,Favrholm Station,Flintholm,Fredericia,Frederikshavn,Frederikssund,Friheden,Fruens Bøge,Fuglebakken,Gadstrup,Gelsted,Gentofte,Give,Gjesing,Glostrup,Glumsø,Gredstedbro,Greve,Gråsten,Grøndal,Guldager,Gårde,Gødstrup,Gørding,Hadsten,Hammerum,Hareskov,Haslev,Havdrup,Hedehusene,Hedensted,Hee,Hellerup,Helsingør,Herfølge,Herlev,Herning,Herning Messecenter,Hillerød,Hinnerup,Hjallese,Hjerm,Hjørring,Hjørring Øst,Hobro,Holbæk,Holme-Olstrup,Holmstrup,Holstebro,Holsted,Holte,Horsens,Humlebæk,Humlum,Hundige,Hurup Thy,Husum,Hvalsø,Hvidbjerg,Hviding,Hvidovre,Højby,Høje Taastrup,Højslev,Hørdum,Hørning,Høvelte,Ikast,Ishøj,Islev,Jelling,Jerne,Jersie,Jyderup,Jyllingevej,Jægersborg,KB Hallen,Kalundborg,Kalundborg Øst,Karlslunde,Kauslunde,Kibæk,Kildebakke,Kildedal,Klampenborg,Kliplev,Knabstrup,Kokkedal,Kolding,Korsør,Kvissel,Kværndrup,København H,København Syd (Ny Ellebjerg),"Københavns Lufthavn, Kastrup",Køge,Køge Nord,Langeskov,Langgade,Langå,Laven,Lejre,Lem,Lille Skensved,Lindholm,Lundby,Lunderskov,Lyngby,Lyngs,Malmparken,Middelfart,Måløv,Mørkøv,Nivå,Nordhavn,Nyborg,Nykøbing F,Næstved,Næstved Nord,Nørre Aaby,Nørre Alslev,Nørrebro,Nørreport,Oddesund Nord,Odense,Odense Sygehus,Ordrup,Padborg,Pederstrup,Peter Bangs Vej,Randers,Regstrup,Rejsby,Ribe,Ribe Nørremark,Ringe,Ringkøbing,Ringsted,Roskilde,Roskilde Festivalsplads,Rudme,Rungsted Kyst,Ry,Ryparken,Rødekro,Rødkærsbro,Rødovre,Sejstrup,Sig,Silkeborg,Sindal,Sjælør,Sjørring,Skalbjerg,Skalborg,Skanderborg,Skive,Skjern,Skodsborg,Skovbrynet,Skovlunde,Skærbæk,Skørping,Slagelse,Snedsted,Snekkersten,Solrød Strand,Sorgenfri,Sorø,Spangsbjerg,Sparkær,Stengården,Stenløse,Stenstrup,Stenstrup Syd,Stoholm,Struer,Studsgård,Støvring,Svanemøllen,Svebølle,Svejbæk,Svendborg,Svendborg Vest,Svenstrup,Sydhavn,Sønderborg,Taastrup,Tarm,Taulov,Thisted,Thyregod,Tim,Tinglev,Tistrup,Tjæreborg,Tolne,Tommerup,Trekroner,Troldhede,Tureby,Tårnby,Tølløse,Tønder,Tønder Nord,Udland via Helsingør-Helsingborg overfart,Udland via Padborg grænse,Udland via Tønder grænse,Udland via Øresundsforbindelsen,Uglev,Ulfborg,Ulstrup,Valby,Vallensbæk,Vamdrup,Vangede,Vanløse,Varde,Varde Kaserne,Varde Nord,Vedbæk,Vejen,Vejle,Vejle Sygehus,Veksø,Vemb,Vesterport,Viborg,Viby J,Viby Sj,Vigerslev Allé,Vildbjerg,Vinderup,Vinge,Vipperød,Virum,Visby,Vojens,Vordingborg,Vrå,Værløse,Ydby,Ålholm,Åmarken,Årslev,Ølby,Ølgod,Ølstykke,Ørestad,Østerport
Guldager,5,0,0,28,0,0,0,0,0,2,0,0,0,0,0,22,0,0,0,0,2,0,302,4,0,7,0,0,0,0,0,46,0,0,0,0,0,0,4,0,2,0,0,0,3,4107,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,717,0,0,7,0,4,0,0,13,5,239,0,13,0,0,0,0,0,1,0,0,0,0,259,28,0,0,0,0,0,0,0,0,0,0,45,14,0,16,0,0,0,3,0,0,2,3,0,0,0,9,0,3,0,23,0,0,1,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,605,0,0,0,35,0,0,0,0,0,0,0,2,0,8,0,4,0,5,0,0,0,52,0,0,0,3,2,0,0,0,0,0,0,11,0,23,2,0,0,0,0,0,0,2,118,38,0,26,7,0,0,0,0,2,0,4,0,0,13,47,28,0,0,3,0,0,2,14,168,0,0,0,5,0,4,0,0,0,0,0,1673,0,0,0,0,0,0,51,2,0,0,0,0,5,1,0,0,4,0,44,0,7,0,0,0,149,92,0,0,0,7,0,0,0,9,3,0,5,0,0,0,1,0,1,0,1,0,0,2527,80,82,0,85,45,0,0,8,0,6,4,0,0,2,1,0,0,0,2,42,0,0,0,0,0,0,0,0,130,0,0,1
Gårde,30,0,0,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0,2,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,2,0,518,0,1,0,0,0,22,0,0,0,0,0,0,0,0,1,71,0,0,0,0,1,0,5,0,0,13,0,1,0,0,0,0,0,0,6,0,0,0,172,0,1,0,0,0,1,0,4,2,0,0,20,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,41,2,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,4,0,0,16,2,0,31,8,0,0,0,6,12,0,0,0,0,12,58,24,0,4,0,0,0,3,0,64,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,10,2,0,0,0,0,2,4,0,0,4,0,54,0,2,0,1,2,244,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,1,0,0,3644,29,3162,0,6,14,0,0,0,0,3,18,0,0,4,8,0,0,0,0,8,34,0,0,0,0,0,0,0,746,0,0,4
Gødstrup,53,0,6,1865,6,4,18,4,0,1122,0,0,4,2,0,38,0,0,11,244,53,0,5,1199,0,0,4,0,4,8,0,0,6,14,0,4,0,0,4,0,0,0,0,6,96,11,0,6,10,0,6,75,4,0,0,0,0,0,0,0,467,10,10,0,2,0,0,0,3,0,0,0,10,887,0,0,0,0,27,1,14,0,0,4,12368,9,6,2,0,176,12,0,104,0,0,0,11183,0,0,150,4,19,0,20,4,0,84,0,0,4,23,3,0,13,0,2061,0,6,568,0,0,0,0,4,0,0,0,0,0,95,0,0,4,0,0,4,27,4,0,0,349,4,17,6,4,19,10,2,3,0,10,0,4,0,4,24,7,0,27,37,0,0,4,4,4,10,0,0,0,6,6,0,46,0,0,0,0,4,27,0,0,0,0,0,103,64,6,0,0,0,122,0,27,0,0,0,0,1990,0,4,41,0,0,130,96,520,0,0,4,2,0,24,2,0,0,0,0,0,0,0,4,0,0,9,2332,10,4,6,0,369,8,4,0,0,13,0,115,0,39,26,20,4,5,0,4,0,0,36,0,0,0,0,0,0,0,0,4,2,30,0,8,0,0,0,17,16,0,0,0,10,314,16,0,40,0,22,66,0,0,2333,41,0,0,0,0,24,0,0,4,5,0,0,0,0,3,4,13,4
Gørding,126,0,2,718,4,0,0,0,6,1,0,0,3,0,0,0,0,0,0,1,0,0,10572,0,0,9,9,0,0,0,0,828,0,0,1,0,0,0,0,0,1,0,1,0,18,18729,0,1,0,0,0,353,0,0,0,4,0,0,2,0,0,2623,1,0,417,0,11,0,239,13,0,0,20,1,0,0,0,4,47,0,9,0,0,3,46,0,12,1,0,1,8,0,9,0,0,0,10,1141,0,112,0,0,0,0,16,1,0,61,0,0,19,0,0,0,0,12,0,0,2,339,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,938,2,0,0,208,3,29,8,4,2,0,8,0,0,0,0,1,0,204,0,0,0,72,0,0,0,1,7,15,2,0,2,0,0,16,0,221,0,1,4,0,0,28,0,0,5316,1142,0,8,6,41,0,0,0,2,0,14,0,0,101,11,26,0,0,0,0,0,56,28,13,0,0,0,36,3,33,1,0,0,0,1,2546,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,10,0,14,72,1,5,0,11,72,708,0,2,2,1,0,1,0,211,12,0,0,0,0,23,1,0,16,0,15,0,0,476,16,1,0,1323,212,0,0,3,0,20,27,0,0,0,0,0,0,0,6,12,22,3,0,0,0,0,0,0,40,0,4,7
Hadsten,10385,24,66,108786,29,9,75,25,260,38,0,3,3,21,3,10,19,0,3765,5,0,10,98,24,0,0,90,13,0,300,20,61,3,0,49,14,12,8,142,4,0,0,8,7,28,409,2,6,4,0,7,887,216,6,0,6,0,3,3,23,64,0,18,1,1,4,32,4,3,0,10,17,0,24,0,0,0,0,154,0,131,43,0,7,197,3,50,40374,0,0,554,89,5714,3,0,0,465,29,4,1582,21,0,0,9,7,5,9,10,2,0,143,54,3,141,0,46,120,0,30,16,1,0,0,0,0,0,0,3,0,0,0,8,11,10,0,26,469,70,3,5,3813,93,408,32,111,13,5,11425,10,0,0,0,56,0,42,12,34,7,217,8,0,10,38,290,23,49,0,12,2,0,156,0,1362,7,0,18,0,4,7529,0,0,26,0,23,36,149,253,0,4,24,156,7,76,422,9,0,2,349,146,7,20,5,234,1109,885,27,0,0,10,0,569,261,15,5,1,6,149,15,27,11,28,0,0,76,483,0,239,202,0,23,43,17,192,13,131,11,13,60,56,84,1,64,0,6,108,4,24,1,0,15,2,3,0,0,159,0,0,32,6,3996,111,5,66,1,9,26,4,2,12,142,1712,0,3,83,0,3541,665,12,0,41,114,0,0,0,1,99,20,71,1,10,0,15,22,0,0,4,66,77
Hammerum,354,0,17,1888,9,0,20,0,4,71,0,0,0,6,0,474,0,0,10,80,33,0,3,300,0,0,45,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,5,494,83,0,0,0,0,0,147,18,0,0,0,0,0,4,1,173,18,1,0,2,0,1,0,9,3,1246,1,20,0,0,0,0,0,20,0,17,0,0,0,12829,197,15,25,0,2,74,0,65,0,0,0,676,0,4,351,0,4,0,1,0,0,3,0,0,0,9,2,1,39,0,708,0,0,26,0,0,0,0,0,0,0,0,1,0,136,0,0,0,0,0,0,73,0,0,3,92,0,17,6,11,5,0,16,7,2,14,0,4,0,0,1,0,0,7,0,0,0,2,5,2,6,0,0,4,0,2,0,75,0,4,0,0,0,339,0,0,23,7,0,3,29,12,0,0,0,131,4,15,3,0,0,3,1326,23,0,2,0,0,231,20,147,0,0,4,0,26,32,0,4,0,24,1,0,0,0,0,0,0,1,87,36,70,0,0,57,5,5,0,0,9,0,34,0,15,9,1,6,4,0,0,0,0,56,0,0,0,0,0,0,8,0,0,2,1,0,4,0,6,0,0,31,0,44,0,36,433,52,0,1,0,8,171,0,0,832,0,0,0,0,0,35,10,2,0,0,0,0,0,0,16,0,1,3
Hareskov,13,3,0,252,11,252,0,91,0,0,102,9437,39,0,38,0,54,563,4,0,0,8,3,0,3,0,0,28,150,0,0,3,9859,0,0,3539,222,386,7811,2237,0,2,0,9377,0,26,2,14,19441,1,1090,55,0,11,201,0,1259,2,3,180,0,0,259,9,0,39,0,986,0,0,0,0,0,0,0,31,1,18,7,0,1309,70,1,25,43,0,681,0,4,0,0,0,10,141,0,0,0,0,104,30,18,0,81,0,101,34,0,0,422,0,174,0,0,0,1,3,252,16,6,3,24,3,29,42,374,14,2,85,0,0,3094,9,299,0,9,14,25,8,0,0,17878,570,85,170,165,3,34,0,0,31,0,1,0,15,3,171,0,32,82,14,5,11,18030,477,86,80,2,13,4,5078,49864,0,547,20,215,3,0,72,20,1,0,0,0,40,0,102,359,0,0,8,6,12348,11,0,160,0,0,24,0,594,0,0,0,57,7,8,3,1008,27,0,3,140,0,9,60,83,34,0,0,4937,11,0,0,0,0,0,0,10186,0,5,47,13,0,889,15,187,0,0,0,1,0,7,0,0,0,10,61,0,3,91,24,0,0,0,0,0,6664,0,0,0,2849,63,0,4041,67,1,5,0,6,0,116,0,2,0,16708,7,4,20,319,4,0,0,1,91,0,4,37,0,17134,0,711,126,0,36,0,12,60,22485
Haslev,25,0,0,57,0,676,0,210,0,0,375,121,231,0,62,0,195,382,0,0,0,85,0,4,0,0,0,1166,146,0,0,0,145,0,0,257,143,66,2472,58,0,55,0,198,4,4,20,46,131,1,507,3,0,156,1162,0,378,126,0,109,0,0,321,368,0,1454,1,142,0,0,0,0,0,0,31,0,685,1689,0,0,2621,182,8305,429,12,0,535,0,0,0,0,0,0,276,5024,0,12,0,162,8,28,0,1498,0,234,55,0,0,148,0,1827,0,0,0,9,0,2452,83,0,0,483,26,66,73,293,20,4,833,0,0,154,27,515,0,4,70,31,6,0,0,36115,6073,1578,97190,2493,8,29,3,0,26,0,340,0,157,0,701,0,195,11,91,47,55,1166,36,2525,46181,25160,0,267,786,14910,0,440,0,89,0,0,56,17,12,0,0,0,0,0,6182,12589,0,0,52,0,1238,4,0,265,0,0,2,0,892,0,0,0,2,0,0,31,12,192,0,0,502,0,23,1546,86,172,0,0,140,84,0,0,0,12,0,0,1469,1,0,0,0,0,856,0,297,2,0,0,0,0,2,0,0,0,0,288,0,1507,493,27,0,0,0,29,0,522,0,0,0,5027,1195,0,86,128,1,0,0,36,0,14,0,22,0,1192,0,0,22,106,1,1,3,8,198,0,1,2938,0,99,0,265,169,0,13603,0,22,1382,3747
Havdrup,0,0,0,34,0,478,0,16,0,0,184,97,25,0,7,0,12,158,0,0,0,201,0,0,0,0,0,243,124,3,0,0,62,0,0,89,10,26,655,8,0,11,0,68,0,0,2,2,3,0,114,16,0,166,219,4,60,2485,0,16,0,0,370,5,0,598,0,33,0,0,0,0,0,0,1,701,0,168,0,0,102,21,234,159,0,0,78,0,0,0,0,0,0,201,15,0,0,0,33,0,12,0,947,0,83,57,0,0,32,0,1664,0,0,0,0,0,1890,21,0,0,2172,14,13,24,16,29,2,341,0,0,18,0,46,0,1,52,13,12,0,4,3743,295,187,10469,350,3,5,0,0,70,0,1218,0,2,27,44,0,26,13,26,20,1,192,49,96,779,30,0,14,45,2554,0,126,0,7,0,0,22,16,12,1,0,0,0,1,436,36540,0,0,9,0,28,0,0,128,0,0,0,0,151,0,0,0,7,2,0,2,0,61,0,0,106,0,3,3777,12,132,0,0,21,19,0,0,0,0,0,0,301,7,0,10,0,0,184,0,343,0,0,1,0,0,0,0,0,0,0,1093,0,8,22,52,0,0,0,0,0,2487,0,0,0,1012,133,0,8,66,0,0,0,0,3,10,0,2,0,351,4,1,38,6,0,0,2,7,9,0,0,63,0,5,0,25,42,0,5959,0,3,71,345
Hedehusene,151,7,1,204,5,3610,0,391,2,6,220,156,148,0,137,0,166,200,4,0,0,1935,11,23,0,0,10,119,1581,0,0,7,458,0,1,3704,454,184,8338,95,0,175,0,447,0,48,2,28,217,1,2686,203,0,230,226,0,843,198,0,537,1,0,6663,121,0,45,5,161,0,0,0,4,1,0,18,1694,168,0,2,0,1307,441,52,4283,53,0,608,3,4,0,13,0,32,4815,343,0,20,1,181,144,27,0,150,8,1108,601,0,0,805,0,26043,0,0,1,0,6,102,203,1,0,26,331,448,346,191,480,502,43,0,0,250,29,693,4,35,221,102,273,0,0,129197,231,14037,1051,94,24,115,22,0,224,0,185,1,60,0,2449,0,253,55,159,533,70,4243,248,2473,5307,0,0,93,1685,66440,0,1436,0,370,2,0,646,15,367,0,0,0,0,0,4366,89872,0,0,31,2,732,24,0,1861,0,0,19,0,150,0,2,0,73,10,0,12,10,314,9,0,6123,0,610,84,177,650,0,0,61,149,6,0,2,6,0,2,2173,165,0,10,0,1,1891,10,2551,0,1,0,5,0,9,0,0,0,7,15929,0,21,808,1176,0,0,0,0,0,527,3,0,0,49368,163,2,158,2294,6,0,0,106,18,147,0,61,0,5335,1,0,1480,22,15,0,5,107,292,0,37,1231,0,268,0,109,201,0,360,0,28,18380,18568
Hedensted,817,0,1,20778,30,7,10,7,4,44,3,0,10,0,1,14,2,0,74,11,2,2,311,124,21,0,353,0,13,0,0,85,1,0,693,27,0,0,3,7,0,50,17,27,20,848,0,16,27,0,4,3636,11,0,0,0,0,0,8,0,239,2,38,2,0,7,34,0,0,0,27,54,151,20,7,0,0,0,0,0,89,17,0,16,1240,0,82,56,33,6,63,0,93,19,1,2,319,37,18,17282,14,0,3,4,0,1,0,4,10,0,131,8,0,144,0,96,13,0,573,0,1,1,0,0,0,0,0,0,5,6,3,0,6,3,0,20,2005,73,0,37,2564,45,318,2,70,8,0,300,13,0,0,0,7,0,67,3,0,0,479,3,0,2,18,121,14,52,0,52,0,3,67,0,2099,6,3,17,0,1,260,0,37,52,7,24,8,228,168,0,0,9,273,7,109,6,1,8,2,990,0,0,0,0,20,1432,102,72,0,0,0,7,11,226,1,4,13,0,102,4,0,3,0,10,0,0,216,1,15,4,0,49,34,31,17,11,54,3,19,105,4,169,0,17,13,8,0,31,8,3,0,3,6,13,20,0,6,0,1,0,1,46,114,0,69,0,8,107,8,4,0,272,71884,44,0,0,0,417,3148,7,4,61,5,0,0,13,0,112,13,0,3,0,0,3,44,3,7,1,21,69
Hee,3,0,0,40,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,12,0,6,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,1,0,0,0,0,0,0,2097,1,0,18,0,1,0,10,0,0,0,0,0,1,1,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,1,0,0,0,0,0,247,0,254,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6056,1,3,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,4,27,1662,0,0,0,0,0,5,0,0,0,0,0,22,0,0,0,0,0,2,81,0,0,0,0,248,14,0,0,0,1,0,24,0,13,2,730,0,1,0,0,0,0,4,0,0,0,0,1,0,8,0,0,0,223,0,0,0,0,0,0,3,0,2,0,3,15,0,0,23,0,40,1,0,0,4,1,0,0,0,0,0,1,0,1,2,0,0,0,0,6,0,0,0
Hellerup,1800,13,61,6666,82,9509,0,39353,30,39,3868,3296,6972,0,17406,0,39488,35191,9,0,0,303,1152,139,12,0,92,7687,4017,15,0,53,5262,0,68,28532,51055,9163,50524,1908,0,1091,32,2538,4,2681,56,31883,3253,127,67380,2186,24,4705,10741,24,31044,36,78,24973,121,8,14960,277,0,5172,314,37027,0,6,14,7,102,17,1339,2606,66,1172,93,0,0,71201,83,9800,1342,1,81322,46,26,8,45,0,356,7130,149,17,725,33,36265,1582,46855,0,6823,2,6979,661,0,0,4962,4,9275,10,0,2,222,1,12325,3891,98,3,1267,492,1028,28361,16672,1482,255,2844,9,0,1900,846,28525,66,23,67906,2693,1900,3,6,125125,24560,14258,8045,1479,250,2249,549,1,1243,0,15,72,121,206,129643,0,4728,1663,5119,583,41597,68471,7115,3737,8963,66,186,276,105257,417174,0,16516,74,55674,82,4,1997,601,42,10,22,6,57,3,9261,12510,0,6,22577,47,21806,830,0,3937,0,0,167,3,14590,1,7,9,2213,34,27,13909,541,6520,2,81,10355,7,26148,2620,17661,3317,1,0,1715,3647,33,0,0,488,0,41,41551,95,23,285,66,20,25399,865,5760,5,11,14,68,0,322,5,2,0,156,2580,0,112,14285,1818,2,0,26450,15,0,55977,0,4,0,26984,10252,108,1582,4014,26,13,2,23015,682,2897,45,2827,0,96694,63,21,236,33166,80,1,121,206,19520,0,494,2340,3,3078,16,32141,3307,15,2957,6,1663,26101,126334
Helsingør,418,0,1,1297,37,827,0,3220,6,2,230,360,536,2,266,0,1151,1976,93,3,1,703,186,42,1,17,10,327,415,0,0,13,407,0,19,930,718,190,1245,71,0,40,19,187,2,642,2,77578,90,1,2058,340,23,335,920,0,1177,40,8,495,31,15,1493,98,0,202,59,1079,0,0,0,0,35,0,72,184,21,363,24,0,71433,0,27,856,262,0,1424,12,37,0,30,0,76,479,17,2,124,8,2013,282,60084,0,306,0,452,82,3,16,482,6,3501,2,0,4,1,25,414,201,22,0,73,93,128,716,320,162,2,114,0,0,325,52,7072,10,17,77759,546,177,0,4,123401,674,12744,851,155,72,139,108,5,68,1,5,12,12,25,4654,0,418,269,202,34,28832,2225,1465,576,1697,14,7,80,5647,188722,0,2990,23,598,40,0,230,174,3,64,21,1,53,1,838,2434,0,0,4258,58,1227,159,0,1247,0,6,129,7,829,0,0,1,268,26,34,2773,34,324,5,23,988,1,25326,213,380,783,0,0,132,123,37,4,0,129,0,11,1769,16,0,339,144,6,849,143,512,5,0,11,13,0,71,0,0,0,15,616,0,16,2840,153,12,5,157957,1247,0,698,4,1,2,7566,203,20,89,168,20,1,0,3211,65,535,1,43,0,699,47,9,87,409,28,0,5,11,381,0,80,367,0,118,0,722,202,16,240,4,72,18997,90683
Herfølge,4,0,0,13,3,72,0,22,0,0,19,19,24,0,10,0,8,84,0,0,0,0,0,0,0,0,0,68,17,0,0,0,71,0,0,67,18,36,298,8,0,2,0,62,0,33,3,2,12,0,1352,10,0,5,550,0,98,28,0,8,0,0,129,29,0,341,10,103,0,0,0,0,0,0,1,7924,234,40,0,0,134,31,0,79,7,0,84,0,0,0,0,0,0,42,361,0,3,0,26,11,3,0,208,0,35,12,0,0,1405,0,241,0,0,0,0,0,615,26,0,0,235,11,8,9,38,4,15,153,0,0,8,2,537,0,0,17,24,11,0,0,21493,3862,770,11274,494,0,48,4,0,4,0,95,0,72,0,128,0,30,2,6,0,1,325,34,437,4389,1513,0,31,244,7533,0,70,0,22,0,0,8,2,0,0,0,0,0,0,63,1887,0,0,12,0,93,0,0,33,0,0,0,0,82,0,0,0,6,0,0,7,1,34,0,0,64,0,4,619,9,6,0,0,10,4,0,0,0,4,0,6,287,5,0,0,0,0,260,1,22,0,0,0,0,0,0,0,0,0,0,1047,0,1591,83,6,0,0,0,60,0,132,0,0,0,64,87,0,17,19,3,0,0,7,0,3,0,4,0,300,4,0,3,37,0,0,1,0,7,0,2,1962,0,15,0,94,40,0,3387,0,2,381,4231
Herlev,64,0,3,557,1,2070,0,740,0,0,3055,218,86835,0,2042,0,847,14501,5,0,0,4502,24,18,0,0,7,558,3503,1,0,1,869,0,1,82895,3930,602,68974,198,0,14424,3,2158,7,55,22,174,224,1,46786,199,21,29731,610,13,7568,47,22,1642,1,4,2481,103,6,905,5,2423,0,0,4,3,7,0,24,429,141,4284,16,0,9750,729,79,0,118,1,2768,3,6,0,18,0,42,2588,34,0,22,0,830,164,601,0,1661,2,22417,545,1,0,4813,10,4312,0,0,4,2,13,2465,6006,6,0,2270,173,7947,838,1608,932,651,744,0,0,252,3343,4329,0,6,375,215,363,0,1,153942,9900,366,5865,630,64,12408,1,1,373,0,73,0,79,13,2397,0,21186,174,29621,75,268,23945,1032,920,9251,44,90,71,22284,84774,0,6821,67,2950,7,0,18874,70,44,17,13,5,33,0,3106,13386,0,0,83,17,11646,21,0,1032,0,0,56,0,625,0,28,7,164,8,14,130,59,26485,3,0,1949,3,1056,592,978,795,0,0,93,18751,13,0,5,18,0,1,10715,45,4,91,90,0,2492,15,3829,2,0,11,14,1,17,1,0,0,18,2518,0,69,404,696,1,0,0,0,0,49104,0,0,0,112554,762,7,566,329299,39,1,0,64,26,401,4,7583,0,50221,60,1,779,9812,6,2,3266,188,1466,0,18,589,3,130,0,3837,310,27,2209,3,16974,410,35636
Herning,6539,33,255,22306,171,36,73,84,145,17982,28,147,66,118,70,11992,70,4,57,9116,5100,40,320,23580,3,11,205,23,27,162,4,195,38,35,245,119,72,49,267,33,5,8,124,157,5863,2707,6,77,48,0,108,5395,87,57,64,8,2,0,40,37,3317,369,125,18,53,25,120,0,297,114,11272,50,174,11563,43,13,0,30,1226,53,1352,264,8,118,0,1442,537,93,11,317,283,4,1451,125,2,0,36262,209,52,6194,114,159,106,438,50,26,243,21,94,27,1132,64,72,1067,4,38504,50,60,1210,55,13,14,25,17,5,5,0,5,2,35080,39,7,153,28,0,141,2169,421,0,14,34640,220,4695,162,451,63,9,985,301,27,1332,0,155,8,243,171,62,10,1274,53,9,47,163,749,431,475,3,124,18,5,762,9,10690,19,23,175,4,26,4238,2,23,232,56,82,1529,1694,1775,0,4,78,3226,51,667,1,35,5,304,27824,27,136,302,4,43,3897,755,17382,34,14,44,52,189,1649,130,49,14,109,290,191,12,57,23,16,0,62,6798,11086,156,158,1,790,241,98,65,49,418,53,2645,63,932,1710,162,175,189,33,63,209,91,9490,1,94,15,35,43,0,2372,0,417,93,334,15,1214,23,345,50,103,1202,80,202,61,615,9109,1560,16,221,25,107,2184,53,4,27246,443,4,6,57,7,518,167,82,44,39,5,46,38,7,1127,11,380,404
Herning Messecenter,56,0,0,181,0,0,0,5,0,22,0,0,0,5,0,34,1,0,0,3,16,0,4,43,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,92,0,10,0,0,4,28,0,0,0,0,0,0,0,0,17,32,0,0,0,0,0,0,31,2,2,0,4,161,0,0,0,0,0,0,1,0,0,1,1158,0,6,4,0,0,4,0,13,0,0,0,57,0,0,33,0,0,0,0,0,0,2,0,0,6,8,2,0,10,0,191,0,0,17,2,0,0,0,1,0,0,0,0,0,268,0,0,2,0,0,0,18,4,0,0,56,0,1,0,0,4,0,2,2,0,1,0,10,0,4,0,0,0,5,0,0,0,0,12,2,6,0,1,0,0,9,0,37,0,0,0,0,0,36,0,0,10,0,0,4,10,11,0,0,0,63,0,5,0,0,0,5,71,3,0,0,0,4,25,4,639,1,0,0,0,0,14,1,1,0,0,4,9,0,0,0,0,0,0,33,33,0,1,0,11,0,0,2,0,0,0,70,0,3,5,0,1,3,0,4,2,0,66,0,1,0,0,2,0,24,0,0,0,10,0,3,0,1,0,0,23,0,0,1,6,90,3,0,0,0,2,10,0,0,106,0,0,0,0,2,0,0,0,0,0,0,0,4,0,32,0,5,0
Hillerød,398,13,7,1918,58,4775,1,180167,1,19,4774,590,691,5,7920,4,187434,17856,31,5,2,226,154,82,10,13,7,4179,2489,10,0,7,1892,0,24,10464,4484,1751,45603,887,0,169,48,5417,2,465,9,649,329,93,25779,801,61,461,9681,10,19741,30,8,10658,11,1,6804,89,0,1387,55,13938,0,1,6,12,50,15,681,526,58,611,82,0,80698,1257,84,2784,537,6,0,5,14,0,66,0,140,2239,54,7,223,13,76503,996,1676,3,3402,13,1573,339,5,4,4243,13,7578,4,0,11,122,78,3695,739,20,10,442,298,634,10362,3298,599,82,782,3,4,1285,38,3495,14,33,315,1074,455,13,14,171831,23086,1572,4828,984,129,882,23,9,202,1,10,1,97,148,257848,0,514,1063,515,172,1114,96685,3380,1862,3681,48,166,270,63615,433305,0,6851,82,6947,67,0,901,307,59,19,61,6,101,5,1935,4442,0,0,62,93,13531,214,5,2185,0,0,406,1,13355,15,3,0,268,120,55,106,118,2599,8,18,2023,7,388,1084,15193,660,0,0,281,272,16,4,11,157,1,24,81937,60,17,383,163,1,28265,113,4010,46,0,55,7,7,65,0,10,3,19,1502,19,103,593,507,11,7,0,0,0,73111,33,1,1,20207,4128,30,1668,1175,92,19,0,168,251,1568,0,81,2,94031,151,8,223,5437,25,7,8,70,19626,10,177,1055,4,277,13,9085,3196,112,1358,20,189,760,156499
