scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
s10,1,35327.41536344141,57367.41536344141,0.15375457875457876,169.0,16,3.75
s10,2,8106.637347684758,30846.63734768476,0.0921474358974359,109.0,8,0.25
s10,3,13465.161862852743,33005.16186285274,0.15886752136752136,52.0,9,7.666666666666667
s10,4,3887.3815040644404,22127.38150406444,0.11907051282051281,61.0,6,4.666666666666667
s10,5,19534.494933490867,38334.49493349087,0.09628205128205128,39.0,9,6.333333333333333
s10,6,25269.65682242404,44669.65682242404,0.09919871794871794,83.0,10,2.5
s10,7,20232.350403278615,39192.350403278615,0.12737179487179487,125.0,8,2.375
s10,8,10677.870924646653,31137.870924646653,0.10935897435897436,104.0,7,1.8571428571428572
s10,9,31487.772369648643,53327.77236964864,0.10969551282051282,175.0,13,2.076923076923077
s10,10,5581.345559354148,27621.345559354148,0.10987179487179487,40.0,11,2.1818181818181817
s10,11,28649.84946297489,50269.84946297489,0.10603632478632478,94.0,11,2.727272727272727
s10,12,26095.02171899566,45695.02171899566,0.10277777777777777,103.0,10,1.0
s10,13,17448.975593522882,38248.97559352288,0.09883814102564102,179.0,13,3.923076923076923
s10,14,14200.667198477902,33600.6671984779,0.10076923076923076,99.0,8,0.0
s10,15,18355.589462813383,40135.58946281338,0.09743589743589744,135.0,12,1.9166666666666667
s10,16,24905.930381222803,46745.9303812228,0.16207264957264958,23.0,10,9.6
s10,17,34768.27743163554,54668.27743163554,0.14882478632478632,200.0,12,4.25
s10,18,40005.947487639074,62625.947487639074,0.13485576923076922,159.0,15,2.533333333333333
s10,19,36624.34358173226,57624.34358173226,0.14941239316239316,143.0,13,1.3846153846153846
s10,20,33112.274346321545,51932.274346321545,0.11634615384615385,103.0,10,3.8
