run,best_obj,profit,iterations
1,35327.41536344141,57367.41536344141,2634
2,8106.637347684758,30846.63734768476,2865
3,13465.161862852743,33005.16186285274,4264
4,3887.3815040644404,22127.38150406444,5502
5,19534.494933490867,38334.49493349087,4032
6,25269.65682242404,44669.65682242404,3035
7,20232.350403278615,39192.350403278615,4798
8,10677.870924646653,31137.870924646653,9565
9,31487.772369648643,53327.77236964864,4648
10,5581.345559354148,27621.345559354148,3012
11,28649.84946297489,50269.84946297489,2442
12,26095.02171899566,45695.02171899566,3755
13,17448.975593522882,38248.97559352288,2482
14,14200.667198477902,33600.6671984779,3069
15,18355.589462813383,40135.58946281338,5665
16,24905.930381222803,46745.9303812228,2889
17,34768.27743163554,54668.27743163554,3468
18,40005.947487639074,62625.947487639074,3571
19,36624.34358173226,57624.34358173226,4450
20,33112.274346321545,51932.274346321545,2458
