scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
s2,1,15330.701589492266,32830.701589492266,0.15876068376068375,99.0,10,1.3
s2,2,22593.20297643765,41293.20297643765,0.18637820512820513,207.0,11,4.181818181818182
s2,3,15142.700203572771,33942.70020357277,0.17077991452991453,159.0,10,6.4
s2,4,27051.575982489892,45671.57598248989,0.16822916666666668,234.0,12,1.6666666666666667
s2,5,9700.577211966658,28320.577211966658,0.14973290598290598,113.0,9,5.0
s2,6,12649.839247427608,30469.839247427608,0.22110042735042734,169.0,11,1.8181818181818181
s2,7,25517.232669510624,43237.232669510624,0.1489010989010989,147.0,11,2.5454545454545454
s2,8,22400.818961754696,39140.818961754696,0.1920940170940171,185.0,11,5.636363636363637
s2,9,26480.275521631316,45840.275521631316,0.11983173076923077,144.0,10,0.0
s2,10,43957.75848293048,61597.75848293048,0.1815934065934066,158.0,14,3.357142857142857
s2,11,17780.631695194905,38260.631695194905,0.14413919413919413,195.0,10,6.0
s2,12,23574.431983443217,41254.43198344322,0.1451388888888889,127.0,10,3.4
s2,13,27031.660500842052,44831.66050084205,0.18612637362637363,264.0,13,0.0
s2,14,32095.806936469176,48695.80693646918,0.16307692307692306,98.0,9,1.8888888888888888
s2,15,26401.98588178175,42761.98588178175,0.24636752136752138,239.0,12,4.5
s2,16,15513.429606471436,33233.429606471436,0.1342948717948718,74.0,8,5.5
s2,17,26576.779136430574,45456.779136430574,0.12075320512820513,113.0,11,0.2727272727272727
s2,18,16756.618245534642,35276.61824553464,0.2155448717948718,281.0,11,1.1818181818181819
s2,19,36916.442791621754,56216.442791621754,0.2110576923076923,310.0,14,3.4285714285714284
s2,20,32651.10375642636,49271.10375642636,0.20838675213675215,143.0,11,2.8181818181818183
