run,best_obj,profit,iterations
1,15330.701589492266,32830.701589492266,3837
2,22593.20297643765,41293.20297643765,2538
3,15142.700203572771,33942.70020357277,5470
4,27051.575982489892,45671.57598248989,8009
5,9700.577211966658,28320.577211966658,4617
6,12649.839247427608,30469.839247427608,4810
7,25517.232669510624,43237.232669510624,7508
8,22400.818961754696,39140.818961754696,4382
9,26480.275521631316,45840.275521631316,6637
10,43957.75848293048,61597.75848293048,4871
11,17780.631695194905,38260.631695194905,4762
12,23574.431983443217,41254.43198344322,4577
13,27031.660500842052,44831.66050084205,3366
14,32095.806936469176,48695.80693646918,8653
15,26401.98588178175,42761.98588178175,4884
16,15513.429606471436,33233.429606471436,3717
17,26576.779136430574,45456.779136430574,5765
18,16756.618245534642,35276.61824553464,3840
19,36916.442791621754,56216.442791621754,3883
20,32651.10375642636,49271.10375642636,9071
