lat1,lon1,lat2,lon2,minutes
55.629053,12.647601,56.3,10.618,227.7866666666667
55.740278,9.151667,55.7003,11.25,172.51000000000002
55.740278,9.151667,55.629053,12.647601,185.51666666666668
55.740278,9.151667,55.740278,9.151667,0.0
55.740278,9.151667,56.3,10.618,103.20166666666667
55.4767,10.3308,55.7003,11.25,112.77833333333334
55.629053,12.647601,55.4767,10.3308,125.69833333333332
55.4767,10.3308,55.629053,12.647601,125.78500000000001
55.4767,10.3308,55.740278,9.151667,90.15833333333333
55.4767,10.3308,56.3,10.618,132.96333333333334
55.740278,9.151667,55.4767,10.3308,89.345
55.629053,12.647601,55.7003,11.25,81.87333333333332
55.629053,12.647601,55.629053,12.647601,0.0
55.4767,10.3308,55.4767,10.3308,0.0
55.629053,12.647601,55.740278,9.151667,184.98166666666665
