scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
s6,1,20080.53119156284,38420.53119156284,0.20361721611721612,194.0,11,2.6363636363636362
s6,2,31410.601737448524,50350.60173744852,0.19030448717948717,236.0,14,3.7857142857142856
s6,3,24533.616284473253,43213.61628447325,0.25737179487179485,127.0,11,3.8181818181818183
s6,4,24935.409418904404,42595.409418904404,0.20085470085470086,205.0,11,1.3636363636363635
s6,5,34361.64913916277,51561.64913916277,0.1646978021978022,136.0,12,0.08333333333333333
s6,6,31482.393945472242,50522.39394547224,0.17147435897435898,98.0,12,1.8333333333333333
s6,7,52435.75825855561,70775.75825855561,0.18297720797720798,192.0,16,2.5625
s6,8,18249.200158022526,35369.200158022526,0.22865384615384615,93.0,10,4.2
s6,9,20448.66784442208,39648.66784442208,0.15496794871794872,164.0,12,2.0833333333333335
s6,10,22557.563373220015,39977.563373220015,0.20993589743589744,155.0,11,2.3636363636363638
s6,11,23865.245621294795,41705.245621294795,0.1814102564102564,167.0,12,4.25
s6,12,48673.72362848233,66053.72362848233,0.19631410256410256,95.0,12,1.5833333333333333
s6,13,26806.79822643048,44126.79822643048,0.18942307692307692,167.0,14,3.357142857142857
s6,14,11825.394152023899,30245.3941520239,0.14803113553113553,177.0,11,1.1818181818181819
s6,15,24352.101786333602,41472.1017863336,0.18435897435897436,106.0,10,0.8
s6,16,26170.588131673096,45090.588131673096,0.18205128205128204,160.0,11,5.818181818181818
s6,17,41172.62568538512,59352.62568538512,0.25134615384615383,144.0,12,5.416666666666667
s6,18,36852.18107140813,52972.18107140813,0.2342948717948718,44.0,10,5.1
s6,19,24211.429826725776,42191.42982672578,0.18,117.0,9,1.5555555555555556
s6,20,28237.12482815462,48857.12482815462,0.1516346153846154,222.0,15,3.4
