scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
s7,1,-2542.912339793522,16657.087660206478,0.20683760683760682,66.0,7,0.0
s7,2,-406.9961802180478,17493.003819781952,0.14903846153846154,0.0,4,0.0
s7,3,-8753.908595930065,10946.091404069935,0.26282051282051283,0.0,4,6.75
s7,4,17501.610589921715,39541.610589921715,0.1678113553113553,95.0,12,2.0833333333333335
s7,5,4013.944624626747,21813.944624626747,0.15213675213675212,0.0,8,0.375
s7,6,11262.44132646269,30102.44132646269,0.21495726495726497,61.0,7,1.0
s7,7,8594.922558098686,29294.922558098686,0.1717948717948718,121.0,11,2.4545454545454546
s7,8,9762.280890790731,27062.28089079073,0.16153846153846155,16.0,6,0.0
s7,9,2867.3057164244346,22727.305716424435,0.1367948717948718,67.0,8,4.25
s7,10,5677.411374342002,27557.411374342002,0.18814102564102564,147.0,12,3.5833333333333335
s7,11,-12045.644064670614,6254.355935329385,0.15363247863247864,45.0,5,0.0
s7,12,1682.4126449216856,21222.412644921686,0.17243589743589743,84.0,10,1.8
s7,13,5853.2957755644675,26093.295775564467,0.19487179487179487,112.0,11,1.0
s7,14,-7145.453905310311,9954.54609468969,0.12628205128205128,0.0,4,0.0
s7,15,-4440.932527980691,13819.06747201931,0.2128205128205128,0.0,3,1.0
s7,16,-7512.434035919341,11787.565964080659,0.19935897435897437,23.0,4,2.0
s7,17,3518.9005471725177,22718.900547172518,0.15213675213675212,83.0,11,0.9090909090909091
s7,18,7492.753711997946,26952.753711997946,0.26495726495726496,74.0,10,2.2
s7,19,8902.987074563127,30562.987074563127,0.16768162393162392,69.0,12,3.0
s7,20,27218.386653195907,47458.38665319591,0.14807692307692308,74.0,10,2.7
