run,best_obj,profit,iterations
1,-2542.912339793522,16657.087660206478,3395
2,-406.9961802180478,17493.003819781952,7299
3,-8753.908595930065,10946.091404069935,4843
4,17501.610589921715,39541.610589921715,3162
5,4013.944624626747,21813.944624626747,8354
6,11262.44132646269,30102.44132646269,5800
7,8594.922558098686,29294.922558098686,4085
8,9762.280890790731,27062.28089079073,5054
9,2867.3057164244346,22727.305716424435,6100
10,5677.411374342002,27557.411374342002,4216
11,-12045.644064670614,6254.355935329385,6637
12,1682.4126449216856,21222.412644921686,4516
13,5853.2957755644675,26093.295775564467,3558
14,-7145.453905310311,9954.54609468969,6257
15,-4440.932527980691,13819.06747201931,8021
16,-7512.434035919341,11787.565964080659,6191
17,3518.9005471725177,22718.900547172518,6318
18,7492.753711997946,26952.753711997946,3696
19,8902.987074563127,30562.987074563127,6422
20,27218.386653195907,47458.38665319591,4960
