run,best_obj,profit,iterations
1,-7082.604863408684,11997.395136591316,6827
2,-6039.022129402816,12080.977870597184,14434
3,-7229.746402940036,10930.253597059964,6314
4,-7748.049246783739,12031.95075321626,4126
5,2237.743202840731,19637.74320284073,7494
6,2973.560019330984,24253.560019330984,4393
7,-3297.446129091204,16402.553870908796,5891
8,1707.7315451159193,21927.73154511592,3458
9,-7446.623090109024,11253.376909890976,4896
10,-5912.850569145761,16807.14943085424,4833
11,-7569.076066937698,12330.923933062302,4815
12,-404.1892254772647,19995.810774522735,4873
13,-2972.7085716639194,17327.29142833608,5061
14,-8611.848582276085,10548.151417723915,8844
15,-6705.26348397698,12694.73651602302,6132
16,-2539.5474131217998,17080.4525868782,3841
17,-15001.710367331048,4158.2896326689515,4650
18,13287.733514270469,32327.73351427047,6048
19,-3104.472433765488,16955.527566234512,3792
20,-50.45003239847938,18209.54996760152,5703
