run,best_obj,profit,iterations
1,26061.208834646073,44541.20883464607,6782
2,15925.526984635588,34725.52698463559,3498
3,26370.486270590416,44770.486270590416,3196
4,19993.558802167972,37193.55880216797,5124
5,63934.61313432739,82354.61313432739,5328
6,23968.706076743823,41768.70607674382,3474
7,21152.259617007992,37652.25961700799,9242
8,38336.74796081311,54676.74796081311,4444
9,31854.948867348867,49434.94886734887,3857
10,58736.8818661306,77076.8818661306,3350
11,7951.38739144642,24051.38739144642,4705
12,19100.612952042866,37940.612952042866,5871
13,39902.5599072552,57442.5599072552,11794
14,23561.64776137819,40901.64776137819,6012
15,27321.441607330707,44961.44160733071,5210
16,5566.800273398192,24286.800273398192,4677
17,24226.923727590336,42426.923727590336,4686
18,33233.323795176904,51253.323795176904,5478
19,18962.67472277503,37862.67472277503,4221
20,8761.694547006027,25061.694547006027,4690
