scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
s1,1,11860.215406437143,29080.215406437143,0.12730769230769232,47.0,11,2.272727272727273
s1,2,7359.53066412863,24599.53066412863,0.13034188034188035,20.0,7,8.285714285714286
s1,3,-4011.6113104306496,14188.38868956935,0.10608974358974359,35.0,8,2.875
s1,4,5365.61649813789,23065.61649813789,0.10982905982905983,27.0,5,1.4
s1,5,-4759.726431975954,14140.273568024046,0.10726495726495726,14.0,7,0.42857142857142855
s1,6,-2393.6569582770935,14506.343041722906,0.09166666666666666,27.0,5,0.0
s1,7,7951.828833582458,24651.828833582458,0.14487179487179488,19.0,7,2.4285714285714284
s1,8,8312.99095226462,24912.99095226462,0.13942307692307693,96.0,9,1.6666666666666667
s1,9,7371.753819781945,25371.753819781945,0.11538461538461539,0.0,4,0.0
s1,10,7400.675122595836,24620.675122595836,0.11658653846153846,32.0,8,2.375
s1,11,-10123.453992693896,7416.546007306104,0.09732905982905983,0.0,6,0.8333333333333334
s1,12,-5874.492262327338,12525.507737672662,0.10192307692307692,31.0,4,6.25
s1,13,-5974.040215123765,12845.959784876235,0.08979700854700855,88.0,9,2.111111111111111
s1,14,2084.053217172008,20024.053217172008,0.09487179487179487,40.0,5,0.0
s1,15,12429.266407135328,29769.26640713533,0.09955128205128205,65.0,9,0.0
s1,16,2781.9503443082285,19781.95034430823,0.12393162393162394,104.0,12,10.166666666666666
s1,17,-4759.253355909455,13440.746644090545,0.08440170940170941,30.0,5,7.8
s1,18,14409.830694116747,31649.830694116747,0.12006410256410256,53.0,9,1.3333333333333333
s1,19,8930.546370541564,25930.546370541564,0.1735576923076923,0.0,6,1.8333333333333333
s1,20,887.1032144844867,18287.103214484487,0.10128205128205128,18.0,6,0.0
