run,best_obj,profit,iterations
1,11860.215406437143,29080.215406437143,8837
2,7359.53066412863,24599.53066412863,5728
3,-4011.6113104306496,14188.38868956935,5132
4,5365.61649813789,23065.61649813789,6889
5,-4759.726431975954,14140.273568024046,4967
6,-2393.6569582770935,14506.343041722906,7699
7,7951.828833582458,24651.828833582458,9433
8,8312.99095226462,24912.99095226462,5458
9,7371.753819781945,25371.753819781945,7694
10,7400.675122595836,24620.675122595836,10928
11,-10123.453992693896,7416.546007306104,7773
12,-5874.492262327338,12525.507737672662,5514
13,-5974.040215123765,12845.959784876235,6366
14,2084.053217172008,20024.053217172008,9365
15,12429.266407135328,29769.26640713533,8422
16,2781.9503443082285,19781.95034430823,4729
17,-4759.253355909455,13440.746644090545,5504
18,14409.830694116747,31649.830694116747,11333
19,8930.546370541564,25930.546370541564,8262
20,887.1032144844867,18287.103214484487,4582
